,MAL_ID,Genres,Type,Episodes,Rating,Popularity,Cleaned_Name,Year_Premiered,Duration_in_Minutes
59,28121,"Action, Adventure, Comedy, Romance, Fantasy",TV,13,PG-13 - Teens 13 or older,60,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,24.0
60,5081,"Romance, Supernatural, Mystery, Vampire",TV,15,R - 17+ (violence & profanity),61,Bakemonogatari,2009,24.0
61,15809,"Comedy, Demons, Supernatural, Romance, Fantasy",TV,13,PG-13 - Teens 13 or older,62,The Devil is a Part-Timer!,2013,24.0
62,38524,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10,R - 17+ (violence & profanity),63,Attack on Titan Season 3 Part 2,2019,23.0
63,28999,"Drama, School, Super Power",TV,13,PG-13 - Teens 13 or older,64,Charlotte,2015,24.0
64,30503,"Action, Adventure, Comedy, Supernatural, Shounen",TV,13,PG-13 - Teens 13 or older,65,Noragami Aragoto,2015,24.0
65,29803,"Action, Adventure, Fantasy, Game, Magic, Supernatural",TV,13,R - 17+ (violence & profanity),66,Overlord,2015,24.0
66,33352,"Slice of Life, Drama, Fantasy",TV,13,PG-13 - Teens 13 or older,67,Violet Evergarden,2018,24.0
67,11617,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,R+ - Mild Nudity,68,High School DxD,2012,24.0
68,32937,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy",TV,10,PG-13 - Teens 13 or older,69,KonoSuba:God's Blessing on This Wonderful World! 2,2017,23.0
69,34134,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,R - 17+ (violence & profanity),70,One Punch Man 2nd Season,2019,23.0
70,35849,"Action, Drama, Mecha, Romance, Sci-Fi",TV,24,PG-13 - Teens 13 or older,71,DARLING in the FRANXX,2018,24.0
71,14813,"Slice of Life, Comedy, Drama, Romance, School",TV,13,PG-13 - Teens 13 or older,72,My Teen Romantic Comedy SNAFU,2013,24.0
72,14719,"Action, Adventure, Supernatural, Vampire, Shounen",TV,26,R - 17+ (violence & profanity),74,JoJo's Bizarre Adventure (2012),2012,24.0
73,9756,"Psychological, Drama, Magic, Thriller",TV,12,PG-13 - Teens 13 or older,74,Puella Magi Madoka Magica,2011,24.0
74,10793,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha",TV,22,R - 17+ (violence & profanity),75,Guilty Crown,2011,24.0
75,14741,"Slice of Life, Comedy, Drama, Romance, School",TV,12,PG-13 - Teens 13 or older,77,"Love, Chunibyo & Other Delusions!",2012,24.0
76,37450,"Comedy, Supernatural, Drama, Romance, School",TV,13,PG-13 - Teens 13 or older,78,Rascal Does Not Dream of Bunny Girl Senpai,2018,24.0
77,38408,"Action, Comedy, Super Power, School, Shounen",TV,25,PG-13 - Teens 13 or older,79,My Hero Academia 4,2019,24.0
78,38691,"Sci-Fi, Adventure, Shounen",TV,24,PG-13 - Teens 13 or older,79,Dr. Stone,2019,24.0
79,6880,"Action, Horror, Sci-Fi, Shounen, Supernatural",TV,12,R - 17+ (violence & profanity),79,Deadman Wonderland,2011,24.0
80,12189,"Mystery, School, Slice of Life",TV,22,PG-13 - Teens 13 or older,81,Hyouka,2012,25.0
81,13759,"Slice of Life, Comedy, Drama, Romance, School",TV,24,PG-13 - Teens 13 or older,83,The Pet Girl of Sakurasou,2012,23.0
82,37999,"Comedy, Psychological, Romance, School, Seinen",TV,12,PG-13 - Teens 13 or older,83,Kaguya-sama:Love is War,2019,25.0
83,4181,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV,24,PG-13 - Teens 13 or older,84,Clannad ~After Story~,2008,24.0
84,35790,"Action, Adventure, Drama, Fantasy",TV,25,PG-13 - Teens 13 or older,85,The Rising of the Shield Hero (2019),2019,24.0
85,30654,"Action, Comedy, School, Shounen",TV,25,PG-13 - Teens 13 or older,86,Assassination Classroom Second Season,2016,23.0
86,205,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,R - 17+ (violence & profanity),86,Samurai Champloo,2004,24.0
87,813,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,PG-13 - Teens 13 or older,88,Dragon Ball Z,1989,24.0
88,26243,"Action, Military, Supernatural, Drama, Vampire, Shounen",TV,12,R - 17+ (violence & profanity),89,Seraph of the End:Vampire Reign,2015,23.0
89,7054,"Comedy, Romance, School, Shoujo",TV,26,PG-13 - Teens 13 or older,90,Maid Sama!,2010,24.0
90,17265,"Action, Game, Adventure, Magic, Fantasy",TV,25,PG-13 - Teens 13 or older,91,Log Horizon,2013,25.0
91,164,"Action, Adventure, Fantasy",Movie,1,PG-13 - Teens 13 or older,91,Princess Mononoke,1997,135.0
92,4898,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen",TV,24,R - 17+ (violence & profanity),92,Black Butler,2008,24.0
93,28891,"Comedy, Sports, Drama, School, Shounen",TV,25,PG-13 - Teens 13 or older,94,Haikyu!! 2nd Season,2015,24.0
94,34599,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13,R - 17+ (violence & profanity),95,Made in Abyss,2017,25.0
95,34933,"Game, Mystery, Psychological, Drama, School, Shounen",TV,12,R - 17+ (violence & profanity),97,Kakegurui:Compulsive Gambler,2017,24.0
96,34572,"Action, Comedy, Magic, Fantasy, Shounen",TV,170,PG-13 - Teens 13 or older,97,Black Clover,2017,23.0
97,18897,"Harem, Comedy, Romance, School, Shounen",TV,20,PG-13 - Teens 13 or older,97,Nisekoi:False Love (2014),2014,24.0
98,431,"Adventure, Drama, Fantasy, Romance",Movie,1,G - All Ages,98,Howl's Moving Castle,2004,119.0
99,18153,"Slice of Life, Supernatural, Fantasy",TV,12,PG-13 - Teens 13 or older,99,Beyond the Boundary,2013,24.0
100,37510,"Action, Slice of Life, Comedy, Supernatural",TV,13,PG-13 - Teens 13 or older,101,Mob Psycho 100 II,2019,24.0
101,853,"Comedy, Harem, Romance, School, Shoujo",TV,26,PG-13 - Teens 13 or older,102,Ouran High School Host Club,2006,23.0
102,23283,"Mystery, Psychological, Thriller",TV,11,R - 17+ (violence & profanity),103,Terror in Resonance,2014,22.0
103,11771,"Comedy, School, Shounen, Sports",TV,25,PG-13 - Teens 13 or older,104,Kuroko's Basketball,2012,24.0
104,11741,"Action, Supernatural, Magic, Fantasy",TV,12,R - 17+ (violence & profanity),105,Fate/Zero Season 2,2012,24.0
105,32282,"Ecchi, School, Shounen",TV,13,PG-13 - Teens 13 or older,106,Food Wars! The Second Plate,2016,24.0
106,31478,"Action, Comedy, Mystery, Seinen, Super Power, Supernatural",TV,12,R - 17+ (violence & profanity),107,Bungo Stray Dogs,2016,23.0
107,5680,"Music, Slice of Life, Comedy, School",TV,13,PG-13 - Teens 13 or older,108,K-ON!,2009,24.0
108,33206,"Slice of Life, Comedy, Fantasy",TV,13,PG-13 - Teens 13 or older,109,Miss Kobayashi's Dragon Maid,2017,24.0
109,14513,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,PG-13 - Teens 13 or older,110,Magi:The Labyrinth of Magic,2012,24.0
110,14227,"Slice of Life, Comedy, Romance, School, Shoujo",TV,13,PG-13 - Teens 13 or older,111,My Little Monster,2012,24.0
111,20785,"Action, Sci-Fi, Supernatural, Magic, Romance, School",TV,26,PG-13 - Teens 13 or older,112,The Irregular at Magic High School,2014,23.0
112,2025,"Action, Sci-Fi, Mystery, Super Power",TV,25,R - 17+ (violence & profanity),113,Darker than Black,2007,24.0
113,918,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,PG-13 - Teens 13 or older,114,Gintama,2006,24.0
114,34577,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",TV,24,PG-13 - Teens 13 or older,115,The Seven Deadly Sins:Revival of the Commandments,2018,24.0
115,849,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,PG-13 - Teens 13 or older,115,The Melancholy of Haruhi Suzumiya,2006,23.0
116,37430,"Fantasy, Shounen",TV,24,PG-13 - Teens 13 or older,117,That Time I Got Reincarnated as a Slime,2018,23.0
117,356,"Action, Supernatural, Magic, Romance, Fantasy",TV,24,R - 17+ (violence & profanity),119,Fate/stay night,2006,24.0
118,40028,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,16,R - 17+ (violence & profanity),119,Attack on Titan Final Season,2020,23.0
119,22297,"Action, Fantasy, Magic, Supernatural",TV,12,R - 17+ (violence & profanity),119,Fate/stay night [Unlimited Blade Works],2014,28.0
120,223,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,PG-13 - Teens 13 or older,120,Dragon Ball,1986,24.0
121,523,"Adventure, Comedy, Supernatural",Movie,1,G - All Ages,121,My Neighbor Totoro,1988,86.0
122,32935,"Comedy, Sports, Drama, School, Shounen",TV,10,PG-13 - Teens 13 or older,123,Haikyu!! 3rd Season,2016,24.0
123,15583,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",TV,12,R - 17+ (violence & profanity),123,Date A Live,2013,23.0
124,23847,"Slice of Life, Comedy, Drama, Romance, School",TV,13,PG-13 - Teens 13 or older,124,My Teen Romantic Comedy SNAFU TOO!,2015,24.0
125,30015,"Slice of Life, Romance, School",TV,13,PG-13 - Teens 13 or older,126,ReLIFE,2016,23.0
126,2251,"Action, Comedy, Historical, Mystery, Supernatural",TV,13,R - 17+ (violence & profanity),127,Baccano!,2007,24.0
